"question","options","answer"
"福州大学学生一学期申请免听的课程数一般不得超过()门。","1 | 3 | 4 | 2","2"
"学生每学期修读课程学分一般不宜低于（）学分。","10 | 12 | 15 | 18","15"
"各专业接收大一学生转专业的人数原则上不超过该专业入学时实际招生数的（）。","10% | 20% | 30% | 40%","20%"
"学生提前毕业的时间，原则上不超过（）。","半年 | 一年 | 一年半 | 两年","一年"
"考场必须保持安静，不允许做与考试无关的事情；未经监考人员许可，不得擅自进出考场。考试开始（）分钟后方可交卷，交卷后不得在考场附近逗留、谈论。","120 | 60 | 35 | 30","30"
"凡已在校学习满一学年以上的退学学生，按肄业处理，发给（）。","毕业证书 | 结业证书 | 肄业证书 | 写实性学习证明","肄业证书"
"学生有下列哪些情形，学位会可以撤销已授予学士学位（）。","学位论文代写剽窃伪造 | 冒用身份取得入学资格 | 课程正常考试挂科 | 存在依法不应当授予学位的其他严重违法行为","学位论文代写剽窃伪造 | 冒用身份取得入学资格"
"以下哪些属于A+类赛事？","中国国际大学生创新大赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛 | ACM国际大学生程序设计竞赛","“挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛 | ACM国际大学生程序设计竞赛 | 中国国际大学生创新大赛"
"学生入学后复查内容主要包括（）。","录取手续及程序等是否合乎国家招生规定 | 本人及身份证明与录取通知、考生档案等是否一致 | 身心健康状况是否符合报考专业体检要求 | 学生家庭经济状况","录取手续及程序等是否合乎国家招生规定 | 本人及身份证明与录取通知、考生档案等是否一致 | 身心健康状况是否符合报考专业体检要求"
"本科学生已修读的必修课中，考核不及格的学分数累计达到30学分，学院应当直接予以退学处理，没有其他选择。","对 | 错","错"
"留校察看处分期满，学生表现良好，自动解除察看期，不需要办理任何手续。","对 | 错","错"
"除开除学籍处分外，给予学生处分一般应当设置6到12个月期限。","对 | 错","对"
"根据《福州大学学生管理规定》，本科学生一学期内请事假时间累计不得超过()。","半个月 | 一个月 | 两个月 | 三个月","一个月"
"对于思想政治理论课、德育、体育、军事理论、实验、实习、课程设计、毕业设计（论文）等课程，学生（）申请免听与免修。","可以 | 经批准可以 | 不得 | 特殊情况可以","不得"
"学生入学后，学校应在多长时间内按照国家招生规定进行复查（）。","1个月 | 2个月 | 3个月 | 6个月","2个月"
"已修读本专业培养方案规定的应修学分要求的全部课程，未达到毕业要求，但取得本专业培养方案规定的应修学分（）%者，按结业处理，发放结业证书。","90 | 85 | 80 | 75","80"
"大四下学期(建筑与城乡规划学院的为大五下学期)无专业课程的，或学期总学分低于（）学分的，不再评定优秀学生综合奖学金，改为评定专技奖。","25 | 20 | 18 | 15","15"
"每学年开学多长时间内，各学院必须再次核对学生住宿信息。","一星期内 | 十五天内 | 一个月内 | 两个月","一个月内"
"学士学位授予条件包括（）。","在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 具有从事学术研究或者承担专业实践工作的初步能力 | 通过规定的课程考核或者修满相应学分 | 必须在核心期刊发表一篇学术论文","在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 具有从事学术研究或者承担专业实践工作的初步能力 | 通过规定的课程考核或者修满相应学分"
"根据《福州大学学生管理规定》，本科学生一学期内请事假时间累计不得超过两个月。","对 | 错","错"
"根据《高等学校学生行为准则》，大学生应当“强健体魄，热爱生活”，积极参加文体活动，提高身体素质。","对 | 错","对"
"学生团体邀请校外人员到校举办讲座等活动，无需经学校批准。","对 | 错","错"
"综合素质评价成绩=学业测评成绩×80%+德育素质测评成绩×6%+智育素质测评成绩×5%+体育素质测评成绩×3%+美育素质测评成绩×3%+劳育素质测评成绩×3%。","对 | 错","错"
"偷窃未遂，经公安确认，也可以给予警告、严重警告处分。","对 | 错","对"
"学生未经批准连续（）未参加学校规定的教学活动的，学校可予退学处理。","一周 | 两周 | 三周 | 一个月","两周"
"一学期累计旷课达（）学时以上者，给予留校察看处分。","30 | 40 | 45 | 50","40"
"在上一学期平均学分绩点在()及以上的学生可在开学第一周内书面提出免听某门课程的申请。","3.0 | 3.3 | 3.7 | 4.0","3.0"
"学生一学期申请免听的课程数一般不得超过()门。","4 | 3 | 2 | 1","2"
"福州大学“三种精神”包括()","以魏可镁院士为代表的勇于拼搏的奉献精神 | 以卢嘉锡先生为代表的严谨求实的治学精神 | 以张孤梅同志为代表的艰苦奋斗的创业精神 | 以严复先生为代表的实业救国精神","以魏可镁院士为代表的勇于拼搏的奉献精神 | 以卢嘉锡先生为代表的严谨求实的治学精神 | 以张孤梅同志为代表的艰苦奋斗的创业精神"
"根据《福州大学学生安全管理规定》，发生安全事故后，以下做法正确的有()。","重大事故发生后，学校在一日内向上级主管部门报告 | 一般安全事故由学生所在学院负责调查 | 重大安全事故由公安部门会同有关部门组织调查组进行调查 | 事故调查组应按规定及时查清事故原因，界定事故责任","重大事故发生后，学校在一日内向上级主管部门报告 | 一般安全事故由学生所在学院负责调查 | 重大安全事故由公安部门会同有关部门组织调查组进行调查 | 事故调查组应按规定及时查清事故原因，界定事故责任"
"学校可以给予开除学籍处分的情形包括（）。","违反宪法，反对四项基本原则、破坏安定团结、扰乱社会秩序的 | 触犯国家法律，构成刑事犯罪的 | 受到治安管理处罚，情节严重、性质恶劣的 | 学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，情节严重的","违反宪法，反对四项基本原则、破坏安定团结、扰乱社会秩序的 | 触犯国家法律，构成刑事犯罪的 | 受到治安管理处罚，情节严重、性质恶劣的 | 学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，情节严重的"
"学生有下列哪些情形，学校可以给予开除学籍处分（）","代替他人考试、组织作弊 | 学位论文买卖、代写 | 触犯法律构成刑事犯罪 | 一次迟到早退","代替他人考试、组织作弊 | 学位论文买卖、代写 | 触犯法律构成刑事犯罪"
"重修及格之后，成绩单会对重修、补考成绩进行标注。","对 | 错","对"
"每学年开学一个月内，各学院须再次核对学生住宿信息。","对 | 错","对"
"学生入学未满一学期或者毕业前一年，不得转学。","对 | 错","对"
"学生在做与剧毒、易燃、易爆、放射性物质、有毒有害菌、强光源、有毒气体、高温、高压、强电等有关的危险性实验，必须在教师或实验技术人员指导下严格按操作规程进行，不得擅自操作。","对 | 错","对"
"未经选课擅自参加课程学习与考核的，其成绩不予承认。","对 | 错","对"
"学生在学期间，转专业可以多次申请，只要没有转成功就不算占用次数.","对 | 错","错"
"根据《普通高等学校学生管理规定》，新生入学后，学校应在()内按照国家招生规定进行复查。","1个月 | 2个月 | 3个月 | 6个月","3个月"
"优秀学生综合奖学金一等奖学金评定标准为学期综合测评名次在本专业学生前（）。","5% | 10% | 15% | 20%","10%"
"学生对复查决定有异议的，可在接到复查决定书之日起（）日内向省级教育行政部门提出书面申诉。","10 | 15 | 20 | 30","15"
"学生在课程修读过程中，未办理请假等有关手续而缺课的学时数，超过该门课程教学计划时数的（）或未完成课程规定的作业量者，取消其参加该课程考核资格。","1/3 | 1/4 | 1/5 | 1/6","1/3"
"学生入学后，学校应在（）内按照国家招生规定进行复查。","一个月内 | 两个月内 | 三个月内 | 半年内","两个月内"
"本科生转专业不可以在以下哪个时间节点申请（）","第二学期末 | 第一学期末 | 第三学期末 | 第五学期末","第五学期末"
"学生打架斗殴，处理原则正确的是（）。","挑起事端动手打人给予相应处分 | 致人受伤要承担医疗赔偿 | 持械打人从重处分 | 劝架就完全没有责任","挑起事端动手打人给予相应处分 | 致人受伤要承担医疗赔偿 | 持械打人从重处分"
"以下哪些课程学生不得申请免听与免修？","思想政治理论课 | 体育 | 实验、实习 | 毕业设计（论文）","思想政治理论课 | 体育 | 实验、实习 | 毕业设计（论文）"
"学生不得有下列哪些违法行为（）。","酗酒、打架斗殴 | 赌博、吸毒 | 传播、复制、贩卖非法书刊和音像制品 | 参与非法传销和进行邪教、封建迷信活动","酗酒、打架斗殴 | 赌博、吸毒 | 传播、复制、贩卖非法书刊和音像制品 | 参与非法传销和进行邪教、封建迷信活动"
"下列关于日常学生违纪违规（宿舍安全及其他）但尚未达到处分程度的扣分标准的说法，正确的是（）。","晚熄灯后迟归扣0.2分/次，夜不归宿者扣0.8分/次，冒名顶替晚点名扣0.1分/次 | 留宿非本宿舍人员，扣1.2分/次 | 未按时熄灯，或在熄灯后影响他人休息，扣0.2分/次 | 在宿舍区饮酒，扣0.5分/次，酗酒者按学生管理规定处分并扣分","晚熄灯后迟归扣0.2分/次，夜不归宿者扣0.8分/次，冒名顶替晚点名扣0.1分/次 | 留宿非本宿舍人员，扣1.2分/次"
"辅修专业学士学位不在单独发放学位证书，在主修学位证书注明。","对 | 错","对"
"毕业设计（论文）中引用他人的观点或论述，可以不注明出处。","对 | 错","错"
"除开除学籍处分以外，给予学生处分一般应当设置3到6个月期限，到期按学校规定程序予以解除。","对 | 错","错"
"6.学生入学后，学校应当在 3 个月内按照国家招生规定进行复查。复查内容包括()","录取手续及程序等是否合乎国家招生规定 | 所获得的录取资格是否真实、合乎相关规定 | 身心健康状况是否符合报考专业或者专业类别体检要求，能否保证在校正常学习、生活 | 以上都","以上都"
"学生已修读的必修课中，课程考核不及格的学分数累计达到()学分，给予学业危机警告，由所在学院书面通知学生本人及家长。","20 | 15 | 13 | 10","15"
"关于学生请假，下列说法正确的有()","请假无需办理任何手续 | 因病请假需有二级甲等以上医院或学校指定的医院证明 | 一学期内请病假时间累计超过全学期学习周数1/2的，按休学处理 | 病假三天及三天以内的，由辅导员批准","因病请假需有二级甲等以上医院或学校指定的医院证明 | 一学期内请病假时间累计超过全学期学习周数1/2的，按休学处理 | 病假三天及三天以内的，由辅导员批准"
"根据《福州大学学生住宿管理办法》，学生退宿集中办理期一般安排在()。","每学期第一个月 | 每学期最后一个月 | 可办理下一学期的退宿手续 | 退宿后一年内不得重新申请","每学期最后一个月 | 可办理下一学期的退宿手续 | 退宿后一年内不得重新申请"
"学生有下列哪些情形之一，学校可予退学处理？","学业成绩未达到学校要求或者在学校规定的学习年限内未完成学业的 | 休学、保留学籍期满，在学校规定期限内未提出复学申请或者申请复学经复查不合格的 | 未经批准连续两周未参加学校规定的教学活动的 | 超过学校规定期限未注册而又未履行暂缓注册手续的","学业成绩未达到学校要求或者在学校规定的学习年限内未完成学业的 | 休学、保留学籍期满，在学校规定期限内未提出复学申请或者申请复学经复查不合格的 | 未经批准连续两周未参加学校规定的教学活动的 | 超过学校规定期限未注册而又未履行暂缓注册手续的"
"学生违法违纪后，有下列哪些情形之一的，可以从轻或者减轻处分（）。","主动交代本人违法违纪行为，有明显悔改表现的 | 主动挽回损失或者有效阻止危害结果发生的 | 主动退出违法违纪所得的 | 违纪后态度强硬，拒不认错的","主动交代本人违法违纪行为，有明显悔改表现的 | 主动挽回损失或者有效阻止危害结果发生的 | 主动退出违法违纪所得的"
"学位获得者有下列情形之一的，校学位评定委员会可撤销其已获得的学士学位（）。","学位论文、毕业设计或者实践成果被认定为存在代写、剽窃、伪造等学术不端行为 | 盗用、冒用他人身份，顶替他人取得的入学资格 | 以其他非法手段取得入学资格、毕业证书 | 毕业后自愿放弃学位的","学位论文、毕业设计或者实践成果被认定为存在代写、剽窃、伪造等学术不端行为 | 盗用、冒用他人身份，顶替他人取得的入学资格 | 以其他非法手段取得入学资格、毕业证书"
"属于学校违纪处分可以从轻、减轻处分的情形（）","主动交代违纪行为，悔改明显 | 主动挽回损失 | 主动退出违纪所得 | 串供销毁证据","主动交代违纪行为，悔改明显 | 主动挽回损失 | 主动退出违纪所得"
"学生本人申请退学，经学校审核可以办理退学手续。","对 | 错","对"
"《中华人民共和国学位法》规定，学位工作坚持中国共产党的领导，全面贯彻国家的教育方针。","对 | 错","对"
"学生对退学决定有异议的，可以按规定提出申诉。","对 | 错","对"
"勤工助学活动由学生自行在校外组织，学校不予管理。","对 | 错","错"
"学生已修读必修课不及格累计达到20学分，由学院劝其退学。","对 | 错","错"
"学校应当开展学生诚信教育，以适当方式记录学生学业、学术、品行等方面的诚信信息，对有严重失信行为的，可以规定给予相应的纪律处分。","对 | 错","对"
"学生一学期申请免听课程一般不超过 2 门。","对 | 错","对"
"学生学位论文、公开发表的研究成果存在抄袭、篡改、伪造等学术不端行为，视情节轻重及后果，给予（）处分。","警告至严重警告 | 严重警告至记过 | 记过以上 | 留校察看以上","记过以上"
"学制年限期满，已修读本专业培养方案规定的应修学分要求的全部课程，仍有小于（）%的应修学分未获得，且不愿意延长修业时间的，可申请结业，由学校核准后发给结业证书。","25 | 20 | 15 | 10","20"
"学生收到处分决定书，对处理有异议，应当在收到决定书（）日内向学校学生申诉处理委员会提交书面申诉","7 | 10 | 15 | 30","10"
"根据《中华人民共和国学位法》，学位授予单位设立学位评定委员会，履行下列哪些职责？","审议本单位学位授予的实施办法和具体标准 | 审议学位授予点的增设、撤销等事项 | 作出授予、不授予、撤销相应学位的决议 | 研究处理学位授予争议","审议本单位学位授予的实施办法和具体标准 | 审议学位授予点的增设、撤销等事项 | 作出授予、不授予、撤销相应学位的决议 | 研究处理学位授予争议"
"学生寻衅滋事、打架斗殴，有下列情形之一的，视情节轻重给予处分。","挑起事端或动手打人者 | 致人轻微伤者 | 致人轻伤或重伤者 | 虽未动手打人，但用言语侮辱或以其它方式触犯他人，引起事端或激化矛盾者 | 策划、怂恿、教唆他人打架斗殴者 | 主动劝架并有效制止事态扩大的","挑起事端或动手打人者 | 致人轻微伤者 | 致人轻伤或重伤者 | 虽未动手打人，但用言语侮辱或以其它方式触犯他人，引起事端或激化矛盾者 | 策划、怂恿、教唆他人打架斗殴者"
"学生有哪些情况，取消课程考核资格（）","缺课超过课程总学时 1/3 | 未完成课程规定作业量 | 办理正规请假手续，获准缺课 | 未办理选课手续擅自上课","未完成课程规定作业量 | 未办理选课手续擅自上课 | 缺课超过课程总学时 1/3"
"学生应当参加学校教育教学计划规定的课程和各种教育教学环节的考核，考核分为考试和考查两种，考核不合格的课程均在下学期开学安排一次补考。","对 | 错","错"
"若学生对第一次修读的已及格课程的考核成绩不满意，经慎重考虑后可在每学期开学后二周内书面申请重新修读该课程。","对 | 错","对"
"通过补考后所获得的及格以上（含及格）成绩，成绩绩点均记为1。","对 | 错","对"
"在考试期间被监考人员发现携带手机，无论是开机还是关机，均为违规行为，取消该次考试成绩。","对 | 错","对"
"学生入学后，学校应当在()内按照国家招生规定进行复查。","3个月 | 1个月 | 6个月 | 1年","3个月"
"学生申诉处理委员会对学生提出的申诉进行复查，并在接到书面申诉之日起（）内作出复查结论。","10日 | 15日 | 20日 | 30日","15日"
"上一学期平均学分绩点在（）及以上的学生可在开学第一周内书面提出免听某门课程的申请。","2.0 | 2.5 | 3.0 | 3.5","3.0"
"学生有下列哪些情形之一，按结业处理？","修业年限期满时，已修读本专业培养方案规定的应修学分要求的全部课程，未达到毕业要求，但取得本专业培养方案规定的应修学分80%者 | 毕业时，学生体质健康测试成绩达不到50分者 | 修业年限期满时，已修读本专业培养方案规定的应修学分要求的全部课程，未达到毕业要求，但取得本专业培养方案规定的应修学分70%者 | 毕业时，学生体质健康测试成绩达不到60分者","修业年限期满时，已修读本专业培养方案规定的应修学分要求的全部课程，未达到毕业要求，但取得本专业培养方案规定的应修学分80%者 | 毕业时，学生体质健康测试成绩达不到50分者"
"选修课不及格课程学校会统一安排补考。","对 | 错","错"
"学历证书和学位证书遗失或者损坏，经本人申请，学校核实后可出具证明书，证明书与原证书具有同等效力。","对 | 错","对"
"学生可以在校外租房居住，无需学校批准。","对 | 错","错"
"综合素质评价成绩中，学业测评成绩所占权重为（）。","60% | 70% | 80% | 90%","80%"
"上课迟到、早退者（）次折算为旷课1学时。","二次 | 四次 | 三次 | 五次","三次"
"学生对学校给予的处分不服，只能向学校申诉，不能向教育行政部门申诉。","对 | 错","错"
"本科学生已修读的必修课中，考核不及格学分累计达到()学分，由学院劝其退学。","10 | 20 | 30 | 40","30"
"国家励志奖学金的奖励对象为（）及以上的助学对象。","一年级 | 二年级 | 三年级 | 四年级","二年级"
"勤工助学岗位类型分为（）。","固定岗位 | 临时岗位 | 项目型岗位 | 校外无登记私自兼职","固定岗位 | 临时岗位 | 项目型岗位"
"学生违纪后，有下列哪些情形之一，从重或者加重处分？","违法、违纪行为的主要责任人或组织者 | 强迫、唆使他人违法、违纪的 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 屡次违法、违纪受到纪律处分，经教育不改者","违法、违纪行为的主要责任人或组织者 | 强迫、唆使他人违法、违纪的 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 屡次违法、违纪受到纪律处分，经教育不改者"
"学生申请免修课程，可以不参加免修考试直接免修。","对 | 错","错"
"学生休学期间，学校为其保留学籍，但不享受在校学习学生待遇。","对 | 错","对"
"学生每学期修读课程学分一般不宜低于15学分，也不宜超过30学分。","对 | 错","对"
"应征入伍学生可保留学籍至退役后1年。","对 | 错","错"
"学生携带手机等通讯设备参加考试，给予()处分。","记过 | 警告 | 严重警告 | 留校察看","严重警告"
"福州大学辅修专业总学分控制在()学分。","30～40 | 45～50 | 20～30 | 42～45","42～45"
"本科学生毕业时，体质健康测试成绩达不到()分者按结业处理。","30 | 40 | 50 | 60","50"
"学生在考试中携带手机等通讯设备参加考试的，给予（）处分。","警告 | 严重警告 | 记过 | 留校察看","记过"
"每学期修读课程学分一般不宜超过（）。","20学分 | 25学分 | 30学分 | 35学分","30学分"
"在宿舍有下列哪些行为，负面评价中会被扣分？","保管或使用违规电器 | 夜不归宿 | 在宿舍或教室吸烟 | 以攀爬、翻越等不正当方式进出学生公寓","保管或使用违规电器 | 夜不归宿 | 在宿舍或教室吸烟 | 以攀爬、翻越等不正当方式进出学生公寓"
"福州大学优秀学生综合奖学金分为哪几个等级（）","一等奖 1500 元 / 学期 | 二等奖 1000 元 / 学期 | 三等奖 500 元 / 学期 | 特等奖 3000 元 / 学期","一等奖 1500 元 / 学期 | 二等奖 1000 元 / 学期 | 三等奖 500 元 / 学期"
"辅修学生已获得辅修专业学分达到25学分但未修满全部学分的，由学校发给辅修课程证明。","对 | 错","对"
"根据《福州大学学生管理规定》，本科学生一学期内旷课累计达()学时，给予记过处分。","10 | 20 | 30 | 40","30"
"本科生一般按四学年安排学习进程(五年制本科生按五学年安排学习进程)，每学期修读课程的学分一般不宜超过30学分，也不宜低于（）学分。","20 | 18 | 15 | 13","15"
"学生可以在校园BBS等公共发帖板块匿名发布信息，无需实名注册。","对 | 错","错"
"在一学期内请病假时间累计超过全学期学习周数的1/2的，按休学处理。","对 | 错","对"
"学历证书和学位证书遗失或者损坏，经本人申请，学校核实后可出具相应的证明书。证明书与原证书具有同等效力。","对 | 错","对"
"学校对学生可以给予的纪律处分种类包括()","留校察看 | 开除学籍 | 警告 | 记过 | 严重警告","严重警告 | 开除学籍 | 留校察看 | 警告 | 记过"
"毕业时体质健康测试成绩达不到50分者按结业处理。","对 | 错","对"
"根据教育部 41 号令，新生因故不能按期入学，除不可抗力外，未请假或者请假逾期，视为（）","休学 | 放弃入学资格 | 退学 | 保留入学资格","放弃入学资格"
"综合素质评价成绩由哪几部分构成（）","学业测评成绩 | 德育素质测评 | 智育素质测评 | 体育、美育、劳育素质测评 | 负面评价扣分","学业测评成绩 | 德育素质测评 | 智育素质测评 | 体育、美育、劳育素质测评 | 负面评价扣分"
"对于思想政治理论课、德育、体育、军事理论、实验、实习、课程设计、毕业设计（论文）等课程，学生均不得申请免听与免修。","对 | 错","对"
"留校察看处分期满，但经教育不改或在留校察看期间又有违纪行为者，给予延长察看期或开除学籍处分。","对 | 错","对"
"学生在校期间依法享有以适当方式参与学校管理的权利。","对 | 错","对"
"学生参加勤工助学的时间原则上每周不超过8小时。","对 | 错","对"
"根据《福州大学学生文化科技创新创业奖学金实施细则》，A+类赛事是指（）。","中国国际大学生创新大赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛 | 全国大学生数学建模竞赛","“挑战杯”中国大学生创业计划竞赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | 中国国际大学生创新大赛"
"学生有哪些行为，学校可以从重或者加重处分（）","违纪事件组织者、主要责任人 | 唆使他人违纪 | 打击报复证人检举人 | 主动投案认错","唆使他人违纪 | 打击报复证人检举人 | 违纪事件组织者、主要责任人"
"勤工助学学生每周工作时间原则上不能超过8小时。","对 | 错","对"
"根据《福州大学学生安全管理规定》，发生台风、洪水、地震等自然灾害时，学生必须无条件服从学校统一调度安排。","对 | 错","对"
"按结业处理的学生，需取得本专业培养方案规定的应修学分的（）以上。","70% | 75% | 80% | 85%","80%"
"以下哪些属于校级奖学金项目？","优秀学生综合奖学金 | 文化科技创新创业奖学金 | 单项奖学金 | 国家奖学金","优秀学生综合奖学金 | 文化科技创新创业奖学金 | 单项奖学金"
"《高等学校学生行为准则》要求大学生应“勤奋学习，自强不息”，追求真理，崇尚科学。","对 | 错","对"
"综合素质评价成绩只包含学业测评成绩，不包含其他素质测评。","对 | 错","错"
"学生在校期间依法履行的义务包括（）。","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业 | 免修培养方案规定的课程","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业"
"转专业的学生一旦被录取且在规定的公示期结束后，不得放弃转专业资格。","对 | 错","对"
"学生应当在规定时间内按照学校公布的开课计划进行选课，未经选课不得参加课程学习与考核。","对 | 错","对"
"学生在校期间允许辅修（）个专业。","不限 | 三 | 两 | 一","一"
"对学生的表彰和奖励可以采取以下哪些形式（）。","授予""三好学生""称号 | 授予其他荣誉称号 | 颁发奖学金 | 直接免试攻读研究生无需审核","授予""三好学生""称号 | 授予其他荣誉称号 | 颁发奖学金"
"学生休学期间，以下说法正确的是（）。","学校保留其学籍 | 不享受在校学习学生的待遇 | 休学期间发生的事故，学校不承担任何责任 | 休学期间仍需缴纳全额住宿费","不享受在校学习学生的待遇 | 休学期间发生的事故，学校不承担任何责任 | 学校保留其学籍"
"下列关于日常学生违纪违规（宿舍安全及其他）但尚未达到处分程度的扣分标准的说法，错误的是（）。","燃放鞭炮、焰火及点蜡烛、蚊香，焚烧物品、纸张等使用明火行为，扣0.6分/人 | 保管或使用违规电器，扣1.2分/次 | 以攀爬、翻越等不正当方式进出学生公寓、宿舍区，扣0.6分/次 | 将易燃、易爆、有毒物品或受治安管制的刀具、凶器带进学校，扣1.2分/次","燃放鞭炮、焰火及点蜡烛、蚊香，焚烧物品、纸张等使用明火行为，扣0.6分/人 | 以攀爬、翻越等不正当方式进出学生公寓、宿舍区，扣0.6分/次"
"毕业时，学生体质健康测试成绩达不到50分的，按结业处理。","对 | 错","对"
"本科生一学期病假累计超过全学期学习周数 1/2 的，按（）处理","退学 | 休学 | 留级 | 结业","休学"
"学生交卷后可以在考场附近逗留、谈论。","对 | 错","错"
"新生因疾病申请保留入学资格的，可保留入学资格（）。","半年至一年 | 1至2年 | 2至3年 | 3年","1至2年"
"正常选课在学期末进行，补退选课、重新学习选课在学期初进行。每学期各阶段选课的具体时间在学校教务处网站上发布。","对 | 错","对"
"勤工助学学生参加勤工助学时间原则上每周不超过 8 小时，每月不超过 40 小时。","对 | 错","对"
"根据《福州大学学生安全管理规定》，组织学生集体外出活动，一般应通过()组织。","学生自发 | 正规旅行社 | 社会团体 | 家长委员会","正规旅行社"
"根据《普通高等学校学生管理规定》，学生思想品德的考核、鉴定，采取以下哪些形式进行？","个人小结 | 师生民主评议 | 综合测评 | 笔试","个人小结 | 师生民主评议 | 综合测评"
"根据《福州大学学生管理规定》，本科学生在校期间依法履行的义务包括()。","遵守宪法和法律、法规 | 恪守学术道德，完成规定学业 | 参加社会实践、志愿服务、勤工助学等活动 | 遵守学生行为规范，尊敬师长","恪守学术道德，完成规定学业 | 遵守学生行为规范，尊敬师长 | 遵守宪法和法律、法规"
"国家励志奖学金要求学生为家庭经济困难品学兼优学生。","对 | 错","对"
"学生打架斗殴，下面说法正确的是（）","挑起事端动手打人，视情节给予严重警告或记过 | 持械打人从重处分 | 致人轻伤，构成刑事犯罪免于刑事处罚可给予留校察看以上处分 | 参与斗殴没有受伤就不会受处分","持械打人从重处分 | 挑起事端动手打人，视情节给予严重警告或记过 | 致人轻伤，构成刑事犯罪免于刑事处罚可给予留校察看以上处分"
"一学期累计旷课达（）学时者，给予警告处分。","20 | 15 | 12 | 10","10"
"优秀学生综合奖学金每学期评定一次，于每年（）月、（）月进行。","4 | 6 | 10 | 12","4 | 10"
"学校对学生作出处分决定时，处分决定书中可以不告知申诉途径和期限。","对 | 错","错"
"根据《福州大学学生文化科技创新创业奖学金实施细则》，A+类赛事“中国国际大学生创新大赛”的入围冠军赛项目给予()元奖励。","50,000 | 80,000 | 100,000 | 200,000","100,000"
"已获得主修专业毕业证书，未修满辅修专业培养方案规定的全部学分，但已获得辅修专业学分达到（）学分，由学校发给辅修课程证明。","35 | 30 | 25 | 20","30"
"学生可以在申诉期结束之后，无限次再就同一事件向学校提出申诉。","对 | 错","错"
"每学期开学时，学生未报到或未缴纳学费者，视为未办理注册手续，不能参加（）等所有教学活动。","选课 | 听课 | 考试 | 以上都是","以上都是"
"国家奖学金的奖励标准为每人每年10000元。","对 | 错","对"
"根据《福州大学本科生转专业管理实施办法》，学生符合以下哪些情形可以申请转专业？","在学习期间对其他专业有兴趣和专长的 | 因患病或者有特殊困难、特别需要，无法继续在本专业学习或者不适应本专业学习要求，但尚可在其他专业学习的 | 对现专业不感兴趣但无其他特殊原因的 | 为方便考研选择更容易录取的专业的","在学习期间对其他专业有兴趣和专长的 | 因患病或者有特殊困难、特别需要，无法继续在本专业学习或者不适应本专业学习要求，但尚可在其他专业学习的"
"福州大学的“三种精神”是（）。","以张孤梅同志为代表的艰苦奋斗的创业精神 | 以卢嘉锡先生为代表的严谨求实的治学精神 | 以魏可镁院士为代表的勇于拼搏的奉献精神 | 以陈景润先生为代表的刻苦钻研的探索精神","以张孤梅同志为代表的艰苦奋斗的创业精神 | 以卢嘉锡先生为代表的严谨求实的治学精神 | 以魏可镁院士为代表的勇于拼搏的奉献精神"
"关于学生住宿管理，下列说法正确的有()","严禁翻越围墙、攀爬门窗等违规入室行为 | 每学年开学一个月内，各学院须再次核对各年级学生住宿信息 | 严禁未经批准擅自在校外租房居住 | 可以随意留宿外来无关人员","严禁翻越围墙、攀爬门窗等违规入室行为 | 每学年开学一个月内，各学院须再次核对各年级学生住宿信息 | 严禁未经批准擅自在校外租房居住"
"学术不端行为包括（）。","剽窃、抄袭、侵占他人学术成果 | 篡改他人研究成果 | 伪造科研数据、资料、文献、注释 | 未参加研究或创作而在研究成果、学术论文上署名 | 买卖论文、由他人代写或者为他人代写论文","剽窃、抄袭、侵占他人学术成果 | 篡改他人研究成果 | 伪造科研数据、资料、文献、注释 | 未参加研究或创作而在研究成果、学术论文上署名 | 买卖论文、由他人代写或者为他人代写论文"
"学校给予学生的纪律处分种类包括（）。","警告 | 严重警告 | 记过 | 留校察看 | 开除学籍","警告 | 严重警告 | 记过 | 留校察看 | 开除学籍"
"学生体育成绩评定���突出过程管理，可以根据考勤、课内教学、课外锻炼活动和体质健康等情况综合评定。","对 | 错","对"
"学生因退学等情况中止学业，其在校学习期间所修���程及已获得学分，学校不予记录。","对 | 错","错"
"学生寻衅滋事、打架斗殴，有下列情形之一的，视情节轻重给予处分。","挑起事端或动手打人者 | 致人轻微伤者 | 致人轻伤或重伤者 | 虽未动手打人，但用言语侮辱或以其它方式触犯他人，引起事端或激化矛盾者 | 策划、怂恿、教唆他人打架斗殴者","挑起事端或动手打人者 | 致人轻微伤者 | 致人轻伤或重伤者 | 虽未动手打人，但用言语侮辱或以其它方式触犯他人，引起事端或激化矛盾者 | 策划、怂恿、教唆他人打架斗殴者"
